word,part_of_speech,definition,example,synonyms
junta,n,a group of military officers who rule a country after seizing power,,military junta
knell,"n, v","ring as in announcing death; make (bells) ring, often for the purposes of musical edification; the sound of a bell rung slowly to announce a death or a funeral or the end of something",Ring the bells; My uncle rings every Sunday at the local church,ring
kowtow,"n, v",bend the knees and bow in a servile manner; a former Chinese custom of touching the ground with the forehead as a sign of respect or submission; try to gain favor by cringing or flattering,He is always kowtowing to his boss,"bootlick, fawn, genuflect, kotow, scrape, suck up, toady, truckle"
labile,s,"liable to change; (chemistry, physics, biology) readily undergoing change or breakdown",an emotionally labile person,
lacerate,"s, v",having edges that are jagged from injury; irregularly slashed and jagged as if torn; deeply hurt the feelings of; distress; cut or tear irregularly,his lacerating remarks; lacerate leaves,"lacerated, mangled, torn"
lambast,v,beat with a cane; censure severely or angrily,The mother scolded the child for entering a stranger's car; The deputy ragged the Prime Minister; The customer dressed down the waiter for bringing cold soup,"bawl out, berate, call down, call on the carpet, cane, chew out, chew up, chide, dress down, flog, have words, jaw, lambaste, lecture, rag, rebuke, remonstrate, reprimand, reproof, scold, take to task, trounce"
lampoon,"n, v","a composition that imitates or misrepresents somebody's style, usually in a humorous way; ridicule with satire",The writer satirized the politician's proposal,"burlesque, charade, mockery, parody, pasquinade, put-on, satirise, satirize, sendup, spoof, takeoff, travesty"
languid,s,lacking spirit or liveliness,a languid wave of the hand; a hot languorous afternoon; a languid mood; a lackadaisical attempt,"dreamy, lackadaisical, languorous"
largess,n,a gift or money given (as for service or out of benevolence); usually given ostentatiously; liberality in bestowing gifts; extremely liberal and generous of spirit,,"largesse, magnanimity, munificence, openhandedness"
lascivious,s,driven by lust; preoccupied with or exhibiting lustful desires,libidinous orgies,"lewd, libidinous, lustful"
lassitude,n,weakness characterized by a lack of vitality or energy; a state of comatose torpor (as found in sleeping sickness); a feeling of lack of interest or energy,,"inanition, languor, lethargy, listlessness, slackness, sluggishness"
legerdemain,n,an illusory feat; considered magical by naive observers,,"conjuration, conjuring trick, deception, illusion, magic, magic trick, thaumaturgy, trick"
legion,"n, s",a vast multitude; a large military unit; amounting to a large indefinite number; archaic terms for army; association of ex-servicemen,Palomar's fans are legion; numerous times; the French Foreign Legion; the American Legion; the family was numerous,"horde, host, numerous"
lickspittle,,,,
limpid,s,(of language) transparently clear; easily understandable; ; ; - Robert Burton; transmitting light; able to be seen through with clarity; clear and bright,eyes shining with a liquid luster; pellucid prose; a luculent oration; the cold crystalline water of melted snow; crystal clear skies; could see the sand on the bottom of the limpid pool; the liquid air of a spring morning; lucid air; transparent crystal; a pellucid brook; a perspicuous argument; limpid blue eyes; writes in a limpid style; lucid directions; a crystal clear explanation,"crystal clear, crystalline, liquid, lucid, luculent, pellucid, perspicuous, transparent"
lissome,s,moving and bending with ease,,"lissom, lithe, lithesome, slender, supple, svelte, sylphlike"
listless,s,lacking zest or vivacity; marked by low spirits; showing no enthusiasm,reacted to the crisis with listless resignation; he was listless and bored; a dispirited and divided Party,dispirited
litany,n,a prayer consisting of a series of invocations by the priest with responses from the congregation; any long and tedious address or recital,a litany of failures; the patient recited a litany of complaints,
lucre,n,informal terms for money; the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses),,"boodle, bread, cabbage, clams, dinero, dough, earnings, gelt, kale, lettuce, lolly, loot, moolah, net, net income, net profit, pelf, profit, profits, scratch, shekels, simoleons, sugar, wampum"
luculent,s,(of language) transparently clear; easily understandable; ; ; - Robert Burton,pellucid prose; a luculent oration; a perspicuous argument; writes in a limpid style; lucid directions; a crystal clear explanation,"crystal clear, limpid, lucid, pellucid, perspicuous"
macerate,v,"separate into constituents by soaking; become soft or separate and disintegrate as a result of excessive soaking; cause to grow thin or weak; soften, usually by steeping in liquid, and cause to disintegrate as a result",the tissue macerated in the water; macerate peaches; The treatment emaciated him; the gizzards macerates the food in the digestive system,"emaciate, waste"
magisterial,"s, a",offensively self-assured or given to exercising usually unwarranted power; used of a person's appearance or behavior; befitting an eminent person; of or relating to a magistrate,a bossy way of ordering others around; his distinguished bearing; a rather aggressive and dominating character; a swaggering peremptory manner; autocratic behavior; managed the employees in an aloof magisterial way; she reigned in magisterial beauty; the monarch's imposing presence; an autocratic person; official magisterial functions,"autocratic, bossy, distinguished, dominating, grand, high-and-mighty, imposing, peremptory"
magnanimous,s,generous and understanding and tolerant; noble and generous in spirit,a greathearted general; a magnanimous conqueror; a large and generous spirit; that's very big of you to be so forgiving; magnanimous toward his enemies; a heart big enough to hold no grudges; a large heart,"big, greathearted, large"
maladroit,a,not adroit,a maladroit translation; a maladroit movement of his hand caused the car to swerve; maladroit propaganda,
malapropism,n,the unintentional misuse of a word by confusion with one that sounds similar,,malaprop
malingerer,n,someone shirking their duty by feigning illness or incapacity,,"shammer, skulker"
malodorous,a,having an unpleasant smell,,"ill-smelling, malodourous, stinky, unpleasant-smelling"
marked,"s, a, v","to accuse or condemn or openly or formally or brand as disgraceful; notice or perceive; mark with a scar; assign a grade or rank to, according to one's evaluation; insert punctuation marks into; make or leave a mark on; put a check mark on or near or next to; singled out for notice or especially for a dire fate; make small marks into the surface of; mark by some ceremony or observation; make underscoring marks; remove from a list; having or as if having an identifying mark or a mark as specified; often used in combination; attach a tag or label to; designate as if by a mark; establish as the highest level or best performance; be a distinctive feature, attribute, or trait; sometimes in a very positive sense; strongly marked; easily noticeable",ash marked the believers' foreheads; label these bottles; walked with a marked limp; grade tests; score the SAT essays; She noted that someone was following her; The skin disease scarred his face permanently; mark homework; played with marked cards; The citizens mark the anniversary of the revolution with a march and a parade; tick off the items; a marked man; set a record; the scouts marked the trail; Cross the name of the dead person off the list; a pronounced flavor of cinnamon; a scar-marked face; This sign marks the border; His modesty distinguishes him from his peers; score the clay before firing it; He denounced the government action; mark my words; well-marked roads; mark off the units; She was stigmatized by society because she had a child out of wedlock; Please check each name on the list,"brand, check, check off, commemorate, cross off, cross out, denounce, differentiate, distinguish, grade, label, mark, mark off, nock, note, notice, pit, pock, pronounced, punctuate, scar, score, set, stigmatise, stigmatize, strike off, strike out, tag, tick, tick off"
martial,"n, s",of or relating to the armed forces; Roman poet noted for epigrams (first century BC); (of persons) befitting a warrior; suggesting war or military life,martial law; a military bearing,"soldierlike, soldierly, warlike, warriorlike"
maudlin,s,effusively or insincerely emotional,slushy poetry; a schmaltzy song; a bathetic novel; sentimental soap operas; mushy effusiveness; maudlin expressions of sympathy,"bathetic, drippy, hokey, kitschy, mawkish, mushy, schmaltzy, schmalzy, sentimental, slushy, soppy, soupy"
maunder,v,wander aimlessly; speak (about unimportant matters) rapidly and incessantly; talk indistinctly; usually in a low voice,,"blab, blabber, chatter, clack, gabble, gibber, mumble, mussitate, mutter, palaver, piffle, prate, prattle, tattle, tittle-tattle, twaddle"
maxim,n,a saying that is widely accepted on its own merits; English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916),,"Sir Hiram Stevens Maxim, axiom"
maximally,r,to a maximal degree,the cells maximally responsive to lines in this orientation will fire,
melee,n,a noisy riotous fight,,"battle royal, scrimmage"
mellifluous,s,pleasing to the ear,the dulcet tones of the cello,"dulcet, honeyed, mellisonant, sweet"
mephitic,s,of noxious stench from atmospheric pollution,,miasmic
meretricious,"s, a",like or relating to a prostitute; tastelessly showy; based on pretense; deceptively pleasing,a meretricious argument; a flash car; meretricious praise; a flashy ring; garish colors; a meretricious yet stylish book; tawdry ornaments; a gaudy costume; the gilded and perfumed but inwardly rotten nobility; meretricious relationships; loud sport shirts,"brassy, cheap, flash, flashy, garish, gaudy, gilded, gimcrack, loud, specious, tacky, tatty, tawdry, trashy"
mete,n,a line that indicates a boundary,,"border, borderline, boundary line, delimitation"
meteoric,"s, a","like a meteor in speed or brilliance or transience; of or pertaining to atmospheric phenomena, especially weather and weather conditions; pertaining to or consisting of meteors or meteoroids",meteorological factors; meteorological chart; meteoric (or meteorological) phenomena; a meteoric rise to fame; meteoric shower; meteoric impacts,"meteorologic, meteorological"
mettlesome,s,having a proud and unbroken spirit; willing to face danger,,"game, gamey, gamy, gritty, spirited, spunky"
miasma,n,an unwholesome atmosphere; unhealthy vapors rising from the ground or other sources,the miasma of the marshes; the novel spun a miasma of death and decay; a miasma of cigar smoke,miasm
middling,"n, s, r, v",to a moderately sufficient extent or degree; any commodity of intermediate quality or size (especially when coarse particles of ground wheat are mixed with bran); put in the middle; lacking exceptional quality or ability,in fair health; only a fair performance of the sonata; pretty bad; a novel of average merit; jolly decent of him; the performance was middling at best; pretty big; the shoes are priced reasonably; the caliber of the students has gone from mediocre to above average; he is fairly clever with computers,"average, fair, fairly, jolly, mediocre, middle, moderately, passably, pretty, reasonably, somewhat"
militate,v,have force or influence; bring about an effect or change,Politeness militated against this opinion being expressed,
minatory,s,threatening or foreshadowing evil or tragic developments,the situation became ugly; sinister storm clouds; forbidding thunderclouds; a baleful look; a sinister smile; ominous rumblings of discontent; his tone became menacing; his threatening behavior; ugly black clouds,"baleful, forbidding, menacing, minacious, ominous, sinister, threatening"
mired,"s, v","cause to get stuck as if in a mire; be unable to move further; soil with mud, muck, or mire; entangled or hindered as if e.g. in mire; entrap",The child mucked up his shirt while playing ball in the garden; The mud mired our cart; The car bogged down in the sand; the difficulties in which the question is involved; brilliant leadership mired in details and confusion; Our people should not be mired in the past,"bog down, entangle, get stuck, grind to a halt, involved, mire, muck, muck up, mud"
miscarriage,n,failure of a plan; a natural loss of the products of conception,,"abortion, spontaneous abortion, stillbirth"
miscreant,n,a person without moral scruples,,reprobate
misgiving,"n, v",doubt about someone's honesty; suggest fear or doubt; uneasiness about the fitness of an action; painful expectation,Her heart misgave her that she had acted inexcusably,"apprehension, distrust, misgive, mistrust, qualm, scruple, suspicion"
missive,n,a written message addressed to a person or organization,mailed an indignant letter to the editor,letter
mitigate,v,make less severe or harsh; lessen or to try to lessen the seriousness or extent of,The circumstances extenuate the crime; mitigating circumstances,"extenuate, palliate"
modish,s,in the current fashion or style,,"a la mode, in style, in vogue, latest"
moment,n,an indefinitely short time; a turning force produced by an object acting at a distance (or a measure of that force); the n-th moment of a distribution is the expected value of the n-th power of the deviations from a fixed value; a particular point in time; having important effects or influence; at this time,virtue is of more moment than security; the disappointments of the here and now; the moment he arrived the party began; in a mo; she is studying at the moment; that result is of no consequence; wait just a moment; in just a bit; it only takes a minute; decisions of great consequence are made by the president himself,"bit, consequence, here and now, import, instant, minute, mo, present moment, second"
monolithic,s,imposing in size or bulk or solidity; characterized by massiveness and rigidity and total uniformity,a monolithic worldwide movement; Moore's massive sculptures; a monolithic society; massive oak doors; the monolithic proportions of Stalinist architecture; a monumental scale,"massive, monumental"
mordant,"n, s","of a substance, especially a strong acid; capable of destroying or eating away by chemical action; harshly ironic or sinister; a substance used to treat leather or other materials before dyeing; aids in dyeing process",black humor; a grim joke; fun ranging from slapstick clowning ... to savage mordant wit; grim laughter,"black, caustic, corrosive, erosive, grim, vitriolic"
moribund,s,not growing or changing; without force or vitality; being on the point of death; breathing your last,a moribund patient,stagnant
motile,"n, s",(of spores or microorganisms) capable of movement; one whose prevailing mental imagery takes the form of inner feelings of action,,
muck rack,,,,
mulct,"n, v",impose a fine on; deprive of by deceit; money extracted as a penalty,the cashier gypped me when he gave me too little change; She defrauded the customers who trusted her; he was fined for littering; He swindled me out of my inheritance,"amercement, bunco, con, defraud, diddle, fine, gip, goldbrick, gyp, hornswoggle, nobble, rook, scam, short-change, swindle, victimize"
multifarious,s,having many aspects,multifarious interests; a multifaceted undertaking; the multifarious noise of a great city; a many-sided subject; a miscellaneous crowd,"many-sided, miscellaneous, multifaceted"
munificent,s,very generous,prodigal praise; the critics were lavish in their praise; called for unstinting aid to Britain; his unstinted devotion; his father gave him a half-dollar and his mother a quarter and he thought them munificent; unsparing generosity; a munificent gift; distributed gifts with a lavish hand,"lavish, overgenerous, too-generous, unsparing, unstinted, unstinting"
nadir,n,the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected; an extreme state of adversity; the lowest point of anything,,low-water mark
natty,s,marked by up-to-dateness in dress and manners,a jaunty red hat; a dapper young man,"dapper, dashing, jaunty, raffish, rakish, snappy, spiffy, spruce"
negligible,s,so small as to be meaningless; insignificant; not worth considering,he considered the prize too paltry for the lives it must cost; the effect was negligible; piffling efforts; a trifling matter,"paltry, trifling"
nettle,"n, v","sting with or as with nettles and cause a stinging pain or sensation; any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae); cause annoyance in; disturb, especially by minor irritations",Mosquitoes buzzing in my ear really bothers me; It irritates me that she never closes the door after she leaves,"annoy, bother, chafe, devil, get at, get to, gravel, irritate, nark, rag, rile, urticate, vex"
newfangled,s,(of a new kind or fashion) gratuitously new,newfangled ideas; she buys all these new-fangled machines and never uses them,new
nexus,n,the means of connection between things linked in series; a connected series or group,,link
noisome,s,causing or able to cause nausea; offensively malodorous,the kitchen smelled really funky; a foul odor; nauseous offal; a sickening stench; a nauseating smell,"fetid, foetid, foul, foul-smelling, funky, ill-scented, loathsome, nauseating, nauseous, offensive, queasy, sickening, smelly, stinking, vile"
nonplussed,"s, v",be a mystery or bewildering to; filled with bewilderment,puzzled that she left without saying goodbye; This beats me!; a vexing problem; at a loss to understand those remarks; This question really stuck me; Got me--I don't know the answer!,"amaze, at a loss, baffle, beat, bewilder, dumbfound, flummox, get, gravel, mystify, nonplus, nonplused, perplex, pose, puzzle, puzzled, stick, stupefy, vex"
notwithstanding,r,despite anything to the contrary (usually following a concession),"granted that it is dangerous, all the same I still want to go; although I'm a little afraid, however I'd like to try it; while we disliked each other, nevertheless we agreed; he was a stern yet fair master","all the same, even so, however, nevertheless, nonetheless, still, withal, yet"
novitiate,n,someone who has entered a religious order but has not taken final vows; the period during which you are a novice (especially in a religious order),,"novice, noviciate"
obdurate,s,stubbornly persistent in wrongdoing; showing unfeeling resistance to tender feelings,the child's misery would move even the most obdurate heart; his flinty gaze,"cussed, flint, flinty, granitic, obstinate, stony, unrepentant"
obeisance,n,the act of obeying; dutiful or submissive behavior with respect to another person; bending the head or body or knee as a sign of reverence or submission or shame or greeting,,"bow, bowing, obedience"
objurgate,v,censure severely; express strong disapproval of,She chastised him for his insensitive remarks; These ideas were reprobated; We condemn the racism in South Africa,"castigate, chasten, chastise, condemn, correct, decry, excoriate, reprobate"
oblique,"n, s, a",a diagonally arranged abdominal muscle on either side of the torso; slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled; indirect in departing from the accepted or proper way; misleading; any grammatical case other than the nominative,used devious means to achieve success; gave oblique answers to direct questions; acute and obtuse angles are oblique angles; oblique political maneuvers; the axis of an oblique cone is not perpendicular to its base; the oblique rays of the winter sun,"abdominal external oblique muscle, devious, external oblique muscle, musculus obliquus externus abdominis, oblique case"
obloquy,n,a false accusation of an offense or a malicious misrepresentation of someone's words or actions; state of disgrace resulting from public abuse,,"calumniation, calumny, defamation, hatchet job, opprobrium, traducement"
obstreperous,s,noisily and stubbornly defiant; boisterously and noisily aggressive,obstreperous boys; kept up an obstreperous clamor,
obtain,v,"come into possession of; receive a specified treatment (abstract); be valid, applicable, or true",This theory still holds; His movie received a good review; How did you obtain the visa?; I got nothing but trouble for my good intentions; These aspects of civilization do not find expression or receive an interpretation,"find, get, hold, incur, prevail, receive"
obtrusive,"s, a",undesirably noticeable; sticking out; protruding,equally obtrusive was the graffiti; the obtrusive behavior of a spoiled child,noticeable
obtuse,"s, a",slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray; lacking in insight or discernment; ; - Jasper Griffin; (of a leaf shape) rounded at the apex; of an angle; between 90 and 180 degrees,"never met anyone quite so dim; dumb officials make some really dumb decisions; worked with the slow students; a purblind oligarchy that flatly refused to see that history was condemning it to the dustbin; although dull at classical learning, at mathematics he was uncommonly quick; so dense he never understands anything I say to him; he was either normally stupid or being deliberately obtuse; too obtuse to grasp the implications of his behavior","dense, dim, dull, dumb, purblind, slow"
occlude,v,block passage through,obstruct the path,"block, close up, impede, jam, obstruct, obturate"
occlusive,"n, a",tending to occlude; a consonant produced by stopping the flow of air at some point and suddenly releasing it,his stop consonants are too aspirated,"plosive, plosive consonant, plosive speech sound, stop, stop consonant"
odious,s,unequivocally detestable; ; ; ; - Edmund Burke,abominable treatment of prisoners; execrable crimes; detestable vices; consequences odious to those you govern,"abominable, detestable, execrable"
officious,s,intrusive in a meddling or offensive manner,busy about other people's business; an interfering old woman; bustling about self-importantly making an officious nuisance of himself,"busy, busybodied, interfering, meddlesome, meddling"
oligopoly,n,(economics) a market in which control over the supply of a commodity is in the hands of a small number of producers and each one can influence prices and affect competitors,,
opaque v pellucid,,,,
ornery,s,having a difficult and contrary disposition; - Dorothy Sayers,a cantankerous and venomous-tongued old lady,"cantankerous, crotchety"
orotund,s,(of sounds) full and rich; ostentatiously lofty in style,a man given to large talk; pear-shaped vowels; tumid political prose; orotund tones; the rotund and reverberating phrase,"bombastic, declamatory, large, pear-shaped, rotund, round, tumid, turgid"
otiose,s,producing no result or effect; disinclined to work or exertion; serving no useful purpose; having no excuse for being,senseless violence; a futile effort; otiose lines in a play; shiftless idle youth; an unavailing attempt; advice is wasted words; too lazy to wash the dishes; an otiose undertaking; the therapy was ineffectual; an indolent hanger-on; a pointless remark; faineant kings under whose rule the country languished; the unemployed are not necessarily work-shy; a life essentially purposeless; slothful employees,"faineant, futile, indolent, ineffectual, lazy, pointless, purposeless, senseless, slothful, superfluous, unavailing, wasted, work-shy"
overween,,,,
overweening,s,"presumptuously arrogant; ; - S.V.Benet; - NY Times; unrestrained, especially with regard to feelings",overweening greed; extravagant praise; had a witty but overweening manner; no idea how overweening he would be; exuberant compliments; overweening ambition; getting a little uppity and needed to be slapped down,"excessive, extravagant, exuberant, uppity"
pacific,"n, s, a",promoting peace; the largest ocean in the world; relating to or bordering the Pacific Ocean; disposed to peace or of a peaceful nature,in a peaceable and orderly manner; the pacific temper seeks to settle disputes on grounds of justice rather than by force; the result of this pacific policy was that no troops were called up; a quiet and peaceable person; Pacific islands,"Pacific Ocean, peaceable"
paean,n,(ancient Greece) a hymn of praise (especially one sung in ancient Greece to invoke or thank a deity); a formal expression of praise,,"encomium, eulogy, panegyric, pean"
palaver,"n, v","flattery intended to persuade; influence or urge by gentle urging, caressing, or flattering; have a lengthy discussion, usually between people of different backgrounds; speak (about unimportant matters) rapidly and incessantly; loud and confused and empty talk",mere rhetoric; He palavered her into going along,"blab, blabber, blandishment, blarney, cajole, cajolery, chatter, clack, coax, empty talk, empty words, gabble, gibber, hot air, inveigle, maunder, piffle, prate, prattle, rhetoric, sweet-talk, tattle, tittle-tattle, twaddle, wheedle"
palimpsest,n,a manuscript (usually written on papyrus or parchment) on which more than one text has been written with the earlier writing incompletely erased and still visible,,
pall,"n, v","cover with a pall; cause to become flat; become less interesting or attractive; lose interest or become bored with something or somebody; lose sparkle or bouquet; cause surfeit through excess though initially pleasing; a sudden numbing dread; lose strength or effectiveness; become or appear boring, insipid, or tiresome (to); hanging cloth used as a blind (especially for a window); cause to lose courage; burial garment in which a corpse is wrapped",dashed by the refusal; pall the beer; Too much spicy food cloyed his appetite; wine and beer can pall; I'm so tired of your mother and her complaints about my food; the course palled on her,"become flat, cerement, chill, cloy, curtain, dash, daunt, die, drape, drapery, dull, fatigue, frighten away, frighten off, jade, mantle, scare, scare away, scare off, shroud, tire, weary, winding-clothes, winding-sheet"
palter,v,be deliberately ambiguous or unclear in order to mislead or withhold information,,"beat around the bush, equivocate, prevaricate, tergiversate"
panache,n,distinctive and stylish elegance; a feathered plume on a helmet,he wooed her with the confident dash of a cavalry officer,"dash, elan, flair, style"
panegyric,"n, s",formally expressing praise; a formal expression of praise,,"encomiastic, encomium, eulogistic, eulogy, paean, panegyrical, pean"
panned,v,express a totally negative opinion of; wash dirt in a pan to separate out the precious minerals; make a sweeping movement,The critics panned the performance; The camera panned across the room,"pan, pan off, pan out, tear apart, trash"
panoply,n,a complete and impressive array,,
pare,v,decrease gradually or bit by bit; strip the skin off; remove the edges from and cut down to the desired size; cut small bits or pare shavings from,trim lumber; pare apples; trim the photograph; whittle a piece of wood; pare one's fingernails,"pare down, peel, skin, trim, whittle"
parenthetical,"n, s",qualifying or explaining; placed or as if placed in parentheses; an expression in parentheses,parenthetical remarks; his writing was full of parentheticals,"parenthetic, parenthetical expression"
parley,"n, v","discuss, as between enemies; a negotiation between enemies",,
parry,"n, v","avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues); a return punch (especially by a boxer); impede the movement of (an opponent or a ball); (fencing) blocking a lunge or deflecting it with a circular motion of the sword",He dodged the issue; They tend to evade their responsibilities; he evaded the questions skillfully; block an attack; she skirted the problem,"block, circumvent, counter, counterpunch, deflect, dodge, duck, elude, evade, fudge, hedge, put off, sidestep, skirt"
partial,"n, s, a",being or affecting only a part; not total; showing favoritism; the derivative of a function of two or more variables with respect to a single variable while the other variables are considered to be constant; (followed by `of' or `to') having a strong preference or liking for; a harmonic with a frequency that is a multiple of the fundamental frequency,a partial eclipse; fond of chocolate; a partial monopoly; a partial description of the suspect; partial to horror movies; partial immunity; partial collapse,"fond, overtone, partial derivative, partial tone"
parvenu,"n, s",a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class; of or characteristic of a parvenu; characteristic of someone who has risen economically or socially but lacks the social skills appropriate for this new position,,"arriviste, nouveau-riche, parvenue, upstart"
pastoral,"n, s, a",(used with regard to idealized country life) idyllically rustic; a musical composition that evokes rural life; a literary work idealizing the rural life (especially the life of shepherds); of or relating to a pastor; a letter from a pastor to the congregation; relating to shepherds or herdsmen or devoted to raising sheep or cattle,a pastoral letter; charming in its pastoral setting; a country life of arcadian contentment; rustic tranquility; a pleasant bucolic scene; pastoral land; pastoral seminomadic people; a pastoral economy; pastoral work,"arcadian, bucolic, idyl, idyll, pastorale"
pat,"n, s, r, v","hit lightly; pat or squeeze fondly or playfully, especially under the chin; a light touch or stroke; exactly suited to the occasion; having only superficial plausibility; completely or perfectly; the sound made by a gentle blow",a slick commercial; a pat reply; he has the lesson pat; pat him on the shoulder; had the system down pat; glib promises,"chuck, dab, glib, rap, slick, tap"
paucity,n,an insufficient quantity or number,,dearth
pecuniary,a,relating to or involving money,he received thanks but no pecuniary compensation for his services; monetary rewards,monetary
pejorative,s,expressing disapproval,dyslogistic terms like `nitwit' and `scalawag',"dislogistic, dyslogistic"
pell-mell,"s, r",with undue hurry and confusion; in a wild or reckless manner,running pell-mell up the stairs; a pell-mell dash for the train; dashing harum-scarum all over the place; a helter-skelter kind of existence with never a pause,"harum-scarum, helter-skelter"
pellucid,s,transmitting light; able to be seen through with clarity; (of language) transparently clear; easily understandable; ; ; - Robert Burton,pellucid prose; a luculent oration; the cold crystalline water of melted snow; crystal clear skies; could see the sand on the bottom of the limpid pool; lucid air; transparent crystal; a pellucid brook; a perspicuous argument; writes in a limpid style; lucid directions; a crystal clear explanation,"crystal clear, crystalline, limpid, lucid, luculent, perspicuous, transparent"
pendulous,s,having branches or flower heads that bend downward,lilacs with drooping panicles of fragrant flowers; the pendulous branches of a weeping willow; nodding daffodils,"cernuous, drooping, nodding, weeping"
penurious,s,not having enough money to pay for necessities; excessively unwilling to spend,lived in a most penurious manner--denying himself every indulgence; parsimonious thrift relieved by few generous impulses,"hard up, impecunious, in straitened circumstances, parsimonious, penniless, pinched"
peons,n,a laborer who is obliged to do menial work,,"drudge, galley slave, navvy, peon"
perceptible,"s, a",easily seen or detected; capable of being perceived by the mind or senses; easily perceived by the senses or grasped by the mind,a detectable note of sarcasm; a perceptible limp; perceptible changes in behavior; a perceptible sense of expectation in the court; easily perceptible sounds; he continued after a perceptible pause,detectable
percipient,"n, s",a person who becomes aware (of things or events) through the senses; characterized by ease and quickness in perceiving,clear mind; a percipient author,"beholder, clear, observer, perceiver"
peregrinate,v,"travel around, through, or over, especially on foot",peregrinate the bridge,
peremptory,s,putting an end to all debate or action; offensively self-assured or given to exercising usually unwarranted power; not allowing contradiction or refusal,a bossy way of ordering others around; a rather aggressive and dominating character; a peremptory decree; a swaggering peremptory manner; autocratic behavior; managed the employees in an aloof magisterial way; spoke in peremptory tones; an autocratic person; peremptory commands,"autocratic, bossy, dominating, high-and-mighty, magisterial"
perforce,r,by necessity; by force of circumstance,,
perfunctory,s,as a formality only; hasty and without attention to detail; not thorough,a casual (or cursory) inspection failed to reveal the house's structural flaws; a passing glance; a one-candidate pro forma election; perfunctory courtesy,"casual, cursory, passing, pro forma"
peripatetic,"n, s, a",a person who walks from place to place; traveling especially on foot; of or relating to Aristotle or his philosophy; a follower of Aristotle or an adherent of Aristotelianism,peripatetic country preachers; Aristotelean logic; a poor wayfaring stranger,"Aristotelean, Aristotelian, Aristotelic, wayfaring"
perjogative,,,,
perquisite,n,an incidental benefit awarded for certain types of employment (especially if it is regarded as a right); a right reserved exclusively by a particular person or group (especially a hereditary or official right),a limousine is one of the fringe benefits of the job; suffrage was the prerogative of white adult males,"exclusive right, fringe benefit, perk, prerogative, privilege"
perspicacious,s,mentally acute or penetratingly discerning; acutely insightful and wise,"chaos could be prevented only by clear-sighted leadership; much too perspicacious to be taken in by such a spurious argument; observant and thoughtful, he was given to asking sagacious questions; a source of valuable insights and sapient advice to educators; much too perspicacious to be taken in by so spurious an argument; too clear-eyed not to see what problems would follow","clear-eyed, clear-sighted, sagacious, sapient"
pert,s,characterized by a lightly pert and exuberant quality,a certain irreverent gaiety and ease of manner,"impertinent, irreverent, saucy"
pertinacious,s,stubbornly unyielding; ; ; ; - T.S.Eliot,dour determination; a mind not gifted to discover truth but tenacious to hold it; men tenacious of opinion; the most vocal and pertinacious of all the critics; dogged persistence,"dogged, dour, persistent, tenacious, unyielding"
perturb,v,"disturb or interfere with the usual path of an electron or atom; disturb in mind or make uneasy or cause to be worried or alarmed; cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull; throw into great confusion or disorder",She was rather perturbed by the news that her father was seriously ill; The electrons were perturbed by the passing ion; The orbits of these stars were perturbed by the passings of a comet; Fundamental Islamicists threaten to perturb the social order in Algeria and Egypt,"cark, derange, disorder, disquiet, distract, throw out of kilter, trouble, unhinge"
peruse,v,examine or consider with attention and in detail,Please peruse this report at your leisure,
petulant,s,easily irritated or annoyed,not the least nettlesome of his countrymen; an incorrigibly fractious young man,"cranky, fractious, irritable, nettlesome, peckish, peevish, pettish, scratchy, techy, testy, tetchy"
phalanx,n,any of the bones of the fingers or toes; any closely ranked crowd of people; a body of troops in close array,,
phantasmagorical,s,characterized by fantastic imagery and incongruous juxtapositions; --J.C.Powys,a great concourse of phantasmagoric shadows; the incongruous imagery in surreal art and literature,"phantasmagoric, surreal, surrealistic"
philistine,"n, s, a",a person who is uninterested in intellectual pursuits; a member of an Aegean people who settled ancient Philistia around the 12th century BC; smug and ignorant and indifferent or hostile to artistic and cultural values; of or relating to ancient Philistia or its culture or its people,,"anti-intellectual, lowbrow"
phlegmatic,s,showing little emotion,a phlegmatic...and certainly undemonstrative man,phlegmatical
picaresque,s,involving clever rogues or adventurers especially as in a type of fiction,a picaresque hero; waifs of the picaresque tradition; picaresque novels,
picayune,s,(informal) small and of little importance,"a little (or small) matter; a fiddling sum of money; giving a police officer a free meal may be against the law, but it seems to be a picayune infraction; our worries are lilliputian compared with those of countries that are at war; a footling gesture; limited to petty enterprises; piffling efforts; a dispute over niggling details","fiddling, footling, lilliputian, little, niggling, petty, piddling, piffling, trivial"
pillory,"n, v",criticize harshly or violently; punish by putting in a pillory; expose to ridicule or public scorn; a wooden instrument of punishment on a post with holes for the wrists and neck; offenders were locked in and so exposed to public scorn,The press savaged the new President; The critics crucified the author for plagiarizing a famous passage,"blast, crucify, gibbet, savage"
