word,part_of_speech,definition,example,synonyms
ascendancy,n,the state that exists when one person or group has power over another,her apparent dominance of her husband was really her attempt to make him pay attention to her,"ascendance, ascendence, ascendency, control, dominance"
ascribe,v,attribute or credit to,We attributed this quotation to Shakespeare; People impute great cleverness to cats,"assign, attribute, impute"
askance,"s, r",with a side or oblique glance; with suspicion or disapproval; (used especially of glances) directed to one side with or as if with doubt or suspicion or envy; - Elizabeth Bowen,sidelong glances; did not quite turn all the way back but looked askance at me with her dark eyes; her eyes with their misted askance look; he looked askance at the offer,"askant, asquint, sidelong, squint, squint-eyed, squinty"
asseverate,v,state categorically,,"assert, maintain"
assiduously,r,with care and persistence,she worked assiduously on the senior thesis,
astride,r,with the legs stretched far apart; with one leg on each side,she sat astride the chair,astraddle
atemporal,,,,
attar,n,essential oil or perfume obtained from flowers,,"atar, athar, ottar"
attenuate,"s, v","become weaker, in strength, value, or magnitude; weaken the consistency of (a chemical substance); reduced in strength",the faded tones of an old recording,"attenuated, faded, rarefy, weakened"
austere,s,of a stern or strict bearing or demeanor; forbidding in aspect; practicing great self-denial; - William James; severely simple,an austere expression; a stern face; a stark interior; a spartan existence; a spartan diet; Be systematically ascetic...do...something for no other reason than that you would rather not do it; a desert nomad's austere life,"ascetic, ascetical, severe, spartan, stark, stern"
autocratic,s,offensively self-assured or given to exercising usually unwarranted power; characteristic of an absolute ruler or absolute rule; having absolute sovereignty,a bossy way of ordering others around; autocratic government; despotic rulers; a rather aggressive and dominating character; a swaggering peremptory manner; autocratic behavior; managed the employees in an aloof magisterial way; a tyrannical government; an autocratic person; an authoritarian regime; a dictatorial rule that lasted for the duration of the war,"authoritarian, bossy, despotic, dictatorial, dominating, high-and-mighty, magisterial, peremptory, tyrannic, tyrannical"
avail,"n, v","take or use; a means of serving; use to one's advantage; be of use to, be useful to",of no avail; there's no help for it; She helped herself to some of the office supplies; He availed himself of the available resources; It will avail them to dispose of their booty,"help, service"
baleful,s,deadly or sinister; threatening or foreshadowing evil or tragic developments,the situation became ugly; forbidding thunderclouds; sinister storm clouds; a baleful look; the Florida eagles have a fierce baleful look; ominous rumblings of discontent; a sinister smile; his tone became menacing; his threatening behavior; ugly black clouds,"baneful, forbidding, menacing, minacious, minatory, ominous, sinister, threatening"
balk,"n, v",something immaterial that interferes with or delays action or progress; one of several parallel sloping beams that support a roof; refuse to comply; an illegal pitching motion while runners are on base; the area on a billiard table behind the balkline,a player with ball in hand must play from the balk,"baulk, check, deterrent, handicap, hinderance, hindrance, impediment, jib, rafter, resist"
balmy,s,mild and pleasant; informal or slang terms for mentally irregular,it used to drive my husband balmy; a soft breeze; balmy days and nights; the climate was mild and conducive to life or growth,"around the bend, barmy, bats, batty, bonkers, buggy, cracked, crackers, daft, dotty, fruity, haywire, kookie, kooky, loco, loony, loopy, mild, nuts, nutty, round the bend, soft, wacky, whacky"
banality,n,a trite or obvious remark,,"bromide, cliche, commonplace, platitude"
bandy,"s, v",toss or strike a ball back and forth; exchange blows; have legs that curve outward at the knees; discuss lightly,We bandied around these difficult questions,"bandy-legged, bowed, bowleg, bowlegged, kick around"
baroque,"n, s, a","the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe; having elaborate symmetrical ornamentation; -William Dean Howells; elaborate and extensive ornamentation in decorative art and architecture that flourished in Europe in the 17th century; of or relating to or characteristic of the elaborately ornamented style of architecture, art, and music popular in Europe between 1600 and 1750",the building...frantically baroque,"Baroque era, Baroque period, baroqueness, churrigueresco, churrigueresque"
bastardization,n,declaring or rendering bastard; an act that debases or corrupts,the annulment of their marriage resulted in the bastardization of their children,bastardisation
bathos,n,triteness or triviality of style; insincere pathos; a change from a serious subject to a disappointing one,,"anticlimax, mawkishness"
baying,v,"bark with prolonged noises, of dogs; utter in deep prolonged tones",,"bay, quest"
beatific,s,experiencing or bestowing celestial joy; marked by utter benignity; resembling or befitting an angel or saint,a saintly concern for his fellow men; angelic beneficence; a beatific smile; my sainted mother; beatific peace,"angelic, angelical, sainted, saintlike, saintly"
bedizened,v,decorate tastelessly; dress up garishly and tastelessly,,"bedizen, dizen"
beg,v,"dodge, avoid answering, or take for granted; ask to obtain free; call upon in supplication; entreat; make a solicitation or entreaty for something; request urgently or persistently",Henry IV solicited the Pope for a divorce; beg money and food; beg the point in the discussion; beg the question; My neighbor keeps soliciting money for different charities; I beg you to stop!,"implore, pray, solicit, tap"
beget,v,make children,Men often father children but don't recognize them; Abraham begot Isaac,"bring forth, engender, father, generate, get, mother, sire"
begrudge,v,wish ill or allow unwillingly; be envious of; set one's heart on,,"envy, resent"
beguile,v,influence by slyness; attract; cause to be enamored,She captured all the men's hearts,"becharm, bewitch, captivate, capture, catch, charm, enamor, enamour, enchant, entrance, fascinate, hoodwink, juggle, trance"
bellicose,s,having or showing a ready disposition to fight,a combative impulse; a contentious nature; bellicose young officers,"battleful, combative"
bemoan,v,regret strongly,we lamented the loss of benefits; I deplore this hostile action,"bewail, deplore, lament"
bemoan,v,regret strongly,we lamented the loss of benefits; I deplore this hostile action,"bewail, deplore, lament"
benighted,"s, v","envelop with social, intellectual, or moral darkness; overtaken by night or darkness; lacking enlightenment or knowledge or culture; overtake with darkness or night; make darker and difficult to perceive by sight",a dark age in the history of education; the dark ages; this benighted country; benighted (or nighted) travelers hurrying toward home; benighted ages of barbarism and superstition; The benighted peoples of this area,"bedim, benight, dark, nighted"
benign,"s, a",not dangerous to health; not recurrent or progressive (especially of a tumor); kindness of disposition or manner; pleasant and beneficial in nature or influence,benign intentions; the benign influence of pure air; the benign ruler of millions; a benign smile; the benign sky,benignant
bereft,s,sorrowful through loss or deprivation; unhappy in love; suffering from unrequited love,bereft of hope,"bereaved, grief-stricken, grieving, lovelorn, mourning, sorrowing, unbeloved"
beset,v,annoy continually or chronically; assail or attack on all sides:; decorate or cover lavishly (as with gems),This man harasses his female co-workers; He is known to harry his staff when he is overworked; The zebra was beset by leopards,"chevvy, chevy, chivvy, chivy, encrust, harass, harry, hassle, incrust, molest, plague, provoke, set upon"
besiege,v,"surround so as to force to give up; harass, as with questions or requests; cause to feel distressed or worried",She was besieged by so many problems that she got discouraged; The press photographers besieged the movie star; The Turks besieged Vienna,"beleaguer, circumvent, hem in, surround"
besmirch,v,smear so as to make dirty or stained; charge falsely or with malicious intent; attack the good name and reputation of someone,The journalists have defamed me!; The article in the paper sullied my reputation,"asperse, calumniate, defame, denigrate, slander, smear, smirch, sully"
besotted,s,very drunk,,"blind drunk, blotto, cockeyed, crocked, fuddled, loaded, pie-eyed, pissed, pixilated, plastered, slopped, sloshed, smashed, soaked, soused, sozzled, squiffy, stiff, tight, wet"
bevy,n,a large gathering of people of a particular type; a flock of birds (especially when gathered close together on the ground),we were visited at breakfast by a bevy of excited ducks; he was surrounded by a bevy of beauties in bathing attire; a bevy of young beach boys swarmed around him,
bilge,"n, v",water accumulated in the bilge of a ship; where the sides of the vessel curve in to form the bottom; cause to leak; take in water at the bilge,the collision bilged the vessel; the tanker bilged,"bilge water, take in water"
bilious,"s, a",suffering from or suggesting a liver disorder or gastric distress; irritable as if suffering from indigestion; relating to or containing bile,,"atrabilious, biliary, dyspeptic, liverish, livery"
bilk,v,"escape, either physically or mentally; hinder or prevent (the efforts, plans, or desires) of; cheat somebody out of what is due, especially money; evade payment to",This difficult idea seems to evade her; foil your opponent; The thief eluded the police; What ultimately frustrated every challenger was Ruth's amazing September surge; The event evades explanation; He bilked his creditors,"baffle, cross, elude, evade, foil, frustrate, queer, scotch, spoil, thwart"
blandish,v,praise somewhat dishonestly,,flatter
blinkered,v,put blinders on (a horse),,blinker
blithe,s,carefree and happy and lighthearted; lacking or showing a lack of due concern,trilling songs with a lightsome heart; was loved for her blithe spirit; a merry blithesome nature; spoke with blithe ignorance of the true situation; her lighthearted nature,"blithesome, light-hearted, lighthearted, lightsome"
boon,"n, s",a desirable state; very close and convivial,enjoy the blessings of peace; a spanking breeze is a boon to sailors; boon companions,blessing
bootless,s,unproductive of success,a fruitless search; a vain attempt; futile years after her artistic peak; a sleeveless errand,"fruitless, futile, sleeveless, vain"
bridle,"n, v","respond to the reins, as of horses; headgear for a horse; includes a headstall and bit and reins to give the rider or driver control; the act of restraining power or action or limiting excess; anger or take offense; put a bridle on",bridle horses; She bridled at his suggestion to elope; his common sense is a bridle to his quick temper,"check, curb"
bristle,"n, v",have or be thickly covered with or as if with bristles; a stiff fiber (coarse hair or filament); natural or synthetic; a stiff hair; be in a state of movement or action; rise up as in fear; react in an offended or angry manner,It was a sight to make one's hair uprise!; The dog's fur bristled; The room abounded with screaming children; The garden bristled with toddlers; He bristled at her suggestion that he should teach her how to use the program; bristling leaves,"abound, burst, stand up, uprise"
broadside,"n, s, r, v",an advertisement (usually printed on a page or in a leaflet) intended for wide distribution; all of the armament that is fired from one side of a warship; the simultaneous firing of all the armament on one side of a warship; with a side facing an object; collide with the broad side of; toward a full side; the whole side of a vessel from stem to stern; a speech of violent denunciation,her car broad-sided mine; he mailed the circular to all subscribers; a broadside attack; the train hit the truck broadside; the wave caught the canoe broadside and capsized it; the ship was broadside to the dock,"bill, broadsheet, circular, flier, flyer, handbill, philippic, throwaway, tirade"
bromide,n,a trite or obvious remark; any of the salts of hydrobromic acid; formerly used as a sedative but now generally replaced by safer drugs,,"banality, cliche, commonplace, platitude"
brook,"n, v",put up with something or somebody unpleasant; a natural stream of water smaller than a river (and often a tributary of a river),he learned to tolerate the heat; the creek dried up every summer; I cannot bear his constant criticism; The new secretary had to endure a lot of unprofessional remarks; She stuck out two years in a miserable marriage,"abide, bear, creek, digest, endure, put up, stand, stick out, stomach, suffer, support, tolerate"
brooked,v,put up with something or somebody unpleasant,I cannot bear his constant criticism; The new secretary had to endure a lot of unprofessional remarks; he learned to tolerate the heat; She stuck out two years in a miserable marriage,"abide, bear, brook, digest, endure, put up, stand, stick out, stomach, suffer, support, tolerate"
browbeat,v,be bossy towards; discourage or frighten with threats or a domineering manner; intimidate,Her big brother always bullied her when she was young,"ballyrag, boss around, bully, bullyrag, hector, push around, strong-arm, swagger"
bugbear,n,an object of dread or apprehension; ; --Ralph Waldo Emerson; an imaginary monster used to frighten children,Germany was always a bugbear for France; A foolish consistency is the hobgoblin of little minds,"bogeyman, booger, boogeyman, bugaboo, hobgoblin"
bumbling,"s, v","walk unsteadily; speak haltingly; lacking physical movement skills, especially with the hands; ; ; ; - Mary H. Vorse; make a mess of, destroy or ruin","The speaker faltered when he saw his opponent enter the room; I botched the dinner and we had to eat out; a bungling performance; could scarcely empty a scuttle of ashes, so handless was the poor creature; the pianist screwed up the difficult passage in the second movement; The drunk man stumbled about; ham-handed governmental interference; a bumbling mechanic","ball up, blow, bobble, bodge, bollix, bollix up, bollocks, bollocks up, botch, botch up, bumble, bungle, bungling, butterfingered, falter, flub, fluff, foul up, fuck up, fumble, ham-fisted, ham-handed, handless, heavy-handed, left-handed, louse up, mess up, mishandle, muck up, muff, screw up, spoil, stammer, stumble, stutter"
bumptious,s,offensively self-assertive,,self-assertive
